alpha,optimizer,seed,frac_active_sp_gt_0.0001,frac_active_sp_gt_0.001,frac_active_sp_gt_0.01,frac_active_sp_gt_0.05,frac_active_sp_gt_0.1
1.0,pgd,0,1.0,1.0,1.0,1.0,1.0
1.0,pgd,1,1.0,1.0,1.0,1.0,1.0
1.0,pgd,2,1.0,1.0,1.0,1.0,1.0
1.0,pgd,3,1.0,1.0,1.0,1.0,1.0
1.0,pgd,4,1.0,1.0,1.0,1.0,1.0
1.0,pgd,5,1.0,1.0,1.0,1.0,1.0
1.0,pgd,6,1.0,1.0,1.0,1.0,1.0
1.0,pgd,7,1.0,1.0,1.0,1.0,1.0
1.0,momentum,0,1.0,1.0,1.0,1.0,1.0
1.0,momentum,1,1.0,1.0,1.0,1.0,1.0
1.0,momentum,2,1.0,1.0,1.0,1.0,1.0
1.0,momentum,3,1.0,1.0,1.0,1.0,1.0
1.0,momentum,4,1.0,1.0,1.0,1.0,1.0
1.0,momentum,5,1.0,1.0,1.0,1.0,1.0
1.0,momentum,6,1.0,1.0,1.0,1.0,1.0
1.0,momentum,7,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
1.0,adam,0,1.0,1.0,1.0,1.0,1.0
1.0,adam,1,1.0,1.0,1.0,1.0,1.0
1.0,adam,2,1.0,1.0,1.0,1.0,1.0
1.0,adam,3,1.0,1.0,1.0,1.0,1.0
1.0,adam,4,1.0,1.0,1.0,1.0,1.0
1.0,adam,5,1.0,1.0,1.0,1.0,1.0
1.0,adam,6,1.0,1.0,1.0,1.0,1.0
1.0,adam,7,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
1.5,pgd,0,1.0,1.0,1.0,1.0,1.0
1.5,pgd,1,1.0,1.0,1.0,1.0,1.0
1.5,pgd,2,1.0,1.0,1.0,1.0,1.0
1.5,pgd,3,1.0,1.0,1.0,1.0,1.0
1.5,pgd,4,1.0,1.0,1.0,1.0,1.0
1.5,pgd,5,1.0,1.0,1.0,1.0,1.0
1.5,pgd,6,1.0,1.0,1.0,1.0,1.0
1.5,pgd,7,1.0,1.0,1.0,1.0,1.0
1.5,momentum,0,1.0,1.0,1.0,1.0,1.0
1.5,momentum,1,1.0,1.0,1.0,1.0,1.0
1.5,momentum,2,1.0,1.0,1.0,1.0,1.0
1.5,momentum,3,1.0,1.0,1.0,1.0,1.0
1.5,momentum,4,1.0,1.0,1.0,1.0,1.0
1.5,momentum,5,1.0,1.0,1.0,1.0,1.0
1.5,momentum,6,1.0,1.0,1.0,1.0,1.0
1.5,momentum,7,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,0,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,1,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,2,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,3,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,4,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,5,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,6,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,7,1.0,1.0,1.0,1.0,1.0
1.5,adam,0,1.0,1.0,1.0,1.0,1.0
1.5,adam,1,1.0,1.0,1.0,1.0,1.0
1.5,adam,2,1.0,1.0,1.0,1.0,1.0
1.5,adam,3,1.0,1.0,1.0,1.0,1.0
1.5,adam,4,1.0,1.0,1.0,1.0,1.0
1.5,adam,5,1.0,1.0,1.0,1.0,1.0
1.5,adam,6,1.0,1.0,1.0,1.0,1.0
1.5,adam,7,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
1.5,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
2.0,pgd,0,1.0,1.0,1.0,1.0,1.0
2.0,pgd,1,1.0,1.0,1.0,1.0,1.0
2.0,pgd,2,1.0,1.0,1.0,1.0,1.0
2.0,pgd,3,1.0,1.0,1.0,1.0,1.0
2.0,pgd,4,1.0,1.0,1.0,1.0,1.0
2.0,pgd,5,1.0,1.0,1.0,1.0,1.0
2.0,pgd,6,1.0,1.0,1.0,1.0,1.0
2.0,pgd,7,1.0,1.0,1.0,1.0,1.0
2.0,momentum,0,1.0,1.0,1.0,1.0,1.0
2.0,momentum,1,1.0,1.0,1.0,1.0,1.0
2.0,momentum,2,1.0,1.0,1.0,1.0,1.0
2.0,momentum,3,1.0,1.0,1.0,1.0,1.0
2.0,momentum,4,1.0,1.0,1.0,1.0,1.0
2.0,momentum,5,1.0,1.0,1.0,1.0,1.0
2.0,momentum,6,1.0,1.0,1.0,1.0,1.0
2.0,momentum,7,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
2.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
2.0,adam,0,1.0,1.0,1.0,1.0,1.0
2.0,adam,1,1.0,1.0,1.0,1.0,1.0
2.0,adam,2,1.0,1.0,1.0,1.0,1.0
2.0,adam,3,1.0,1.0,1.0,1.0,1.0
2.0,adam,4,1.0,1.0,1.0,1.0,1.0
2.0,adam,5,1.0,1.0,1.0,1.0,1.0
2.0,adam,6,1.0,1.0,1.0,1.0,1.0
2.0,adam,7,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
2.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
3.0,pgd,0,1.0,1.0,1.0,1.0,1.0
3.0,pgd,1,1.0,1.0,1.0,1.0,1.0
3.0,pgd,2,1.0,1.0,1.0,1.0,1.0
3.0,pgd,3,1.0,1.0,1.0,1.0,1.0
3.0,pgd,4,1.0,1.0,1.0,1.0,1.0
3.0,pgd,5,1.0,1.0,1.0,1.0,1.0
3.0,pgd,6,1.0,1.0,1.0,1.0,1.0
3.0,pgd,7,1.0,1.0,1.0,1.0,1.0
3.0,momentum,0,1.0,1.0,1.0,1.0,1.0
3.0,momentum,1,1.0,1.0,1.0,1.0,1.0
3.0,momentum,2,1.0,1.0,1.0,1.0,1.0
3.0,momentum,3,1.0,1.0,1.0,1.0,1.0
3.0,momentum,4,1.0,1.0,1.0,1.0,1.0
3.0,momentum,5,1.0,1.0,1.0,1.0,1.0
3.0,momentum,6,1.0,1.0,1.0,1.0,1.0
3.0,momentum,7,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
3.0,adam,0,1.0,1.0,1.0,1.0,1.0
3.0,adam,1,1.0,1.0,1.0,1.0,1.0
3.0,adam,2,1.0,1.0,1.0,1.0,1.0
3.0,adam,3,1.0,1.0,1.0,1.0,1.0
3.0,adam,4,1.0,1.0,1.0,1.0,1.0
3.0,adam,5,1.0,1.0,1.0,1.0,1.0
3.0,adam,6,1.0,1.0,1.0,1.0,1.0
3.0,adam,7,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
5.0,pgd,0,1.0,1.0,1.0,1.0,1.0
5.0,pgd,1,1.0,1.0,1.0,1.0,1.0
5.0,pgd,2,1.0,1.0,1.0,1.0,1.0
5.0,pgd,3,1.0,1.0,1.0,1.0,1.0
5.0,pgd,4,1.0,1.0,1.0,1.0,1.0
5.0,pgd,5,1.0,1.0,1.0,1.0,1.0
5.0,pgd,6,1.0,1.0,1.0,1.0,1.0
5.0,pgd,7,1.0,1.0,1.0,1.0,1.0
5.0,momentum,0,1.0,1.0,1.0,1.0,1.0
5.0,momentum,1,1.0,1.0,1.0,1.0,1.0
5.0,momentum,2,1.0,1.0,1.0,1.0,1.0
5.0,momentum,3,1.0,1.0,1.0,1.0,1.0
5.0,momentum,4,1.0,1.0,1.0,1.0,1.0
5.0,momentum,5,1.0,1.0,1.0,1.0,1.0
5.0,momentum,6,1.0,1.0,1.0,1.0,1.0
5.0,momentum,7,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
5.0,adam,0,1.0,1.0,1.0,1.0,1.0
5.0,adam,1,1.0,1.0,1.0,1.0,1.0
5.0,adam,2,1.0,1.0,1.0,1.0,1.0
5.0,adam,3,1.0,1.0,1.0,1.0,1.0
5.0,adam,4,1.0,1.0,1.0,1.0,1.0
5.0,adam,5,1.0,1.0,1.0,1.0,1.0
5.0,adam,6,1.0,1.0,1.0,1.0,1.0
5.0,adam,7,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
7.0,pgd,0,0.99658203125,0.99658203125,0.99658203125,0.99658203125,0.99658203125
7.0,pgd,1,0.99560546875,0.99560546875,0.99560546875,0.99560546875,0.99560546875
7.0,pgd,2,0.996826171875,0.996826171875,0.996826171875,0.996826171875,0.996826171875
7.0,pgd,3,0.99853515625,0.99853515625,0.99853515625,0.99853515625,0.99853515625
7.0,pgd,4,0.998779296875,0.998779296875,0.998779296875,0.998779296875,0.998779296875
7.0,pgd,5,0.99755859375,0.99755859375,0.99755859375,0.99755859375,0.99755859375
7.0,pgd,6,0.99755859375,0.99755859375,0.99755859375,0.99755859375,0.99755859375
7.0,pgd,7,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.99951171875
7.0,momentum,0,1.0,1.0,1.0,1.0,1.0
7.0,momentum,1,1.0,1.0,1.0,1.0,1.0
7.0,momentum,2,1.0,1.0,1.0,1.0,1.0
7.0,momentum,3,1.0,1.0,1.0,1.0,1.0
7.0,momentum,4,1.0,1.0,1.0,1.0,1.0
7.0,momentum,5,1.0,1.0,1.0,1.0,1.0
7.0,momentum,6,1.0,1.0,1.0,1.0,1.0
7.0,momentum,7,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
7.0,adam,0,1.0,1.0,1.0,1.0,1.0
7.0,adam,1,1.0,1.0,1.0,1.0,1.0
7.0,adam,2,1.0,1.0,1.0,1.0,1.0
7.0,adam,3,1.0,1.0,1.0,1.0,1.0
7.0,adam,4,1.0,1.0,1.0,1.0,1.0
7.0,adam,5,1.0,1.0,1.0,1.0,1.0
7.0,adam,6,1.0,1.0,1.0,1.0,1.0
7.0,adam,7,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
7.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
10.0,pgd,0,0.893310546875,0.893310546875,0.893310546875,0.893310546875,0.893310546875
10.0,pgd,1,0.90966796875,0.90966796875,0.90966796875,0.90966796875,0.90966796875
10.0,pgd,2,0.9033203125,0.9033203125,0.9033203125,0.9033203125,0.9033203125
10.0,pgd,3,0.888916015625,0.888916015625,0.888916015625,0.888916015625,0.888916015625
10.0,pgd,4,0.89111328125,0.89111328125,0.89111328125,0.89111328125,0.89111328125
10.0,pgd,5,0.904052734375,0.904052734375,0.904052734375,0.904052734375,0.904052734375
10.0,pgd,6,0.887939453125,0.887939453125,0.887939453125,0.887939453125,0.887939453125
10.0,pgd,7,0.8896484375,0.8896484375,0.8896484375,0.8896484375,0.8896484375
10.0,momentum,0,1.0,1.0,1.0,1.0,1.0
10.0,momentum,1,1.0,1.0,1.0,1.0,1.0
10.0,momentum,2,1.0,1.0,1.0,1.0,1.0
10.0,momentum,3,1.0,1.0,1.0,1.0,1.0
10.0,momentum,4,1.0,1.0,1.0,1.0,1.0
10.0,momentum,5,1.0,1.0,1.0,1.0,1.0
10.0,momentum,6,1.0,1.0,1.0,1.0,1.0
10.0,momentum,7,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,5,0.998291015625,0.998291015625,0.998291015625,0.998291015625,0.998291015625
10.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
10.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
10.0,adam,0,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375
10.0,adam,1,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375
10.0,adam,2,1.0,1.0,1.0,1.0,1.0
10.0,adam,3,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375
10.0,adam,4,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375
10.0,adam,5,1.0,1.0,1.0,1.0,1.0
10.0,adam,6,1.0,1.0,1.0,1.0,1.0
10.0,adam,7,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,0,0.9873046875,0.9873046875,0.9873046875,0.9873046875,0.9873046875
10.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
10.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
13.0,pgd,0,0.682373046875,0.682373046875,0.682373046875,0.682373046875,0.682373046875
13.0,pgd,1,0.67041015625,0.67041015625,0.67041015625,0.67041015625,0.67041015625
13.0,pgd,2,0.67529296875,0.67529296875,0.67529296875,0.67529296875,0.67529296875
13.0,pgd,3,0.673828125,0.673828125,0.673828125,0.673828125,0.673828125
13.0,pgd,4,0.67431640625,0.67431640625,0.67431640625,0.67431640625,0.67431640625
13.0,pgd,5,0.673828125,0.673828125,0.673828125,0.673828125,0.673828125
13.0,pgd,6,0.669921875,0.669921875,0.669921875,0.669921875,0.669921875
13.0,pgd,7,0.651123046875,0.651123046875,0.651123046875,0.651123046875,0.651123046875
13.0,momentum,0,0.869384765625,0.869384765625,0.869384765625,0.869384765625,0.869384765625
13.0,momentum,1,0.872314453125,0.872314453125,0.872314453125,0.872314453125,0.872314453125
13.0,momentum,2,0.866455078125,0.866455078125,0.866455078125,0.866455078125,0.866455078125
13.0,momentum,3,0.87158203125,0.87158203125,0.87158203125,0.87158203125,0.87158203125
13.0,momentum,4,0.858154296875,0.858154296875,0.858154296875,0.858154296875,0.858154296875
13.0,momentum,5,0.868896484375,0.868896484375,0.868896484375,0.868896484375,0.868896484375
13.0,momentum,6,0.8759765625,0.8759765625,0.8759765625,0.8759765625,0.8759765625
13.0,momentum,7,0.869384765625,0.869384765625,0.869384765625,0.869384765625,0.869384765625
13.0,nesterov,0,0.65478515625,0.65478515625,0.65478515625,0.65478515625,0.65478515625
13.0,nesterov,1,0.6611328125,0.6611328125,0.6611328125,0.6611328125,0.6611328125
13.0,nesterov,2,0.66796875,0.66796875,0.66796875,0.66796875,0.66796875
13.0,nesterov,3,0.657470703125,0.657470703125,0.657470703125,0.657470703125,0.657470703125
13.0,nesterov,4,0.6611328125,0.6611328125,0.6611328125,0.6611328125,0.6611328125
13.0,nesterov,5,0.674560546875,0.674560546875,0.674560546875,0.674560546875,0.674560546875
13.0,nesterov,6,0.65185546875,0.65185546875,0.65185546875,0.65185546875,0.65185546875
13.0,nesterov,7,0.66162109375,0.66162109375,0.66162109375,0.66162109375,0.66162109375
13.0,adam,0,0.82373046875,0.82373046875,0.82373046875,0.82373046875,0.82373046875
13.0,adam,1,0.82666015625,0.82666015625,0.82666015625,0.82666015625,0.82666015625
13.0,adam,2,0.818603515625,0.818603515625,0.818603515625,0.818603515625,0.818603515625
13.0,adam,3,0.8193359375,0.8193359375,0.8193359375,0.8193359375,0.8193359375
13.0,adam,4,0.810546875,0.810546875,0.810546875,0.810546875,0.810546875
13.0,adam,5,0.809814453125,0.809814453125,0.809814453125,0.809814453125,0.809814453125
13.0,adam,6,0.8310546875,0.8310546875,0.8310546875,0.8310546875,0.8310546875
13.0,adam,7,0.81640625,0.81640625,0.81640625,0.81640625,0.81640625
13.0,lbfgsb,0,0.9853515625,0.9853515625,0.9853515625,0.9853515625,0.9853515625
13.0,lbfgsb,1,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375
13.0,lbfgsb,2,0.9345703125,0.9345703125,0.9345703125,0.9345703125,0.9345703125
13.0,lbfgsb,3,0.8876953125,0.8876953125,0.8876953125,0.8876953125,0.8876953125
13.0,lbfgsb,4,0.931640625,0.931640625,0.931640625,0.931640625,0.931640625
13.0,lbfgsb,5,0.873291015625,0.873291015625,0.873291015625,0.873291015625,0.873291015625
13.0,lbfgsb,6,0.986572265625,0.986572265625,0.986572265625,0.986572265625,0.986572265625
13.0,lbfgsb,7,0.825927734375,0.825927734375,0.825927734375,0.825927734375,0.825927734375
16.0,pgd,0,0.4560546875,0.4560546875,0.4560546875,0.4560546875,0.4560546875
16.0,pgd,1,0.458740234375,0.458740234375,0.458740234375,0.458740234375,0.458740234375
16.0,pgd,2,0.450439453125,0.450439453125,0.450439453125,0.450439453125,0.450439453125
16.0,pgd,3,0.454833984375,0.454833984375,0.454833984375,0.454833984375,0.454833984375
16.0,pgd,4,0.460205078125,0.460205078125,0.460205078125,0.460205078125,0.460205078125
16.0,pgd,5,0.452392578125,0.452392578125,0.452392578125,0.452392578125,0.452392578125
16.0,pgd,6,0.46142578125,0.46142578125,0.46142578125,0.46142578125,0.46142578125
16.0,pgd,7,0.442626953125,0.442626953125,0.442626953125,0.442626953125,0.442626953125
16.0,momentum,0,0.4951171875,0.4951171875,0.4951171875,0.4951171875,0.4951171875
16.0,momentum,1,0.49169921875,0.49169921875,0.49169921875,0.49169921875,0.49169921875
16.0,momentum,2,0.49853515625,0.49853515625,0.49853515625,0.49853515625,0.49853515625
16.0,momentum,3,0.482421875,0.482421875,0.482421875,0.482421875,0.482421875
16.0,momentum,4,0.503173828125,0.503173828125,0.503173828125,0.503173828125,0.503173828125
16.0,momentum,5,0.4873046875,0.4873046875,0.4873046875,0.4873046875,0.4873046875
16.0,momentum,6,0.49658203125,0.49658203125,0.49658203125,0.49658203125,0.49658203125
16.0,momentum,7,0.4853515625,0.4853515625,0.4853515625,0.4853515625,0.4853515625
16.0,nesterov,0,0.459716796875,0.459716796875,0.459716796875,0.459716796875,0.459716796875
16.0,nesterov,1,0.453857421875,0.453857421875,0.453857421875,0.453857421875,0.453857421875
16.0,nesterov,2,0.461669921875,0.461669921875,0.461669921875,0.461669921875,0.461669921875
16.0,nesterov,3,0.461181640625,0.461181640625,0.461181640625,0.461181640625,0.461181640625
16.0,nesterov,4,0.460693359375,0.460693359375,0.460693359375,0.460693359375,0.460693359375
16.0,nesterov,5,0.466552734375,0.466552734375,0.466552734375,0.466552734375,0.466552734375
16.0,nesterov,6,0.46435546875,0.46435546875,0.46435546875,0.46435546875,0.46435546875
16.0,nesterov,7,0.453125,0.453125,0.453125,0.453125,0.453125
16.0,adam,0,0.619384765625,0.619384765625,0.619384765625,0.619384765625,0.619384765625
16.0,adam,1,0.64111328125,0.64111328125,0.64111328125,0.64111328125,0.64111328125
16.0,adam,2,0.638671875,0.638671875,0.638671875,0.638671875,0.638671875
16.0,adam,3,0.6162109375,0.6162109375,0.6162109375,0.6162109375,0.6162109375
16.0,adam,4,0.626220703125,0.626220703125,0.626220703125,0.626220703125,0.626220703125
16.0,adam,5,0.61962890625,0.61962890625,0.61962890625,0.61962890625,0.61962890625
16.0,adam,6,0.63330078125,0.63330078125,0.63330078125,0.63330078125,0.63330078125
16.0,adam,7,0.6162109375,0.6162109375,0.6162109375,0.6162109375,0.6162109375
16.0,lbfgsb,0,0.558837890625,0.558837890625,0.558837890625,0.558837890625,0.558837890625
16.0,lbfgsb,1,0.52685546875,0.52685546875,0.52685546875,0.52685546875,0.52685546875
16.0,lbfgsb,2,0.492431640625,0.492431640625,0.492431640625,0.492431640625,0.492431640625
16.0,lbfgsb,3,0.568115234375,0.568115234375,0.568115234375,0.568115234375,0.568115234375
16.0,lbfgsb,4,0.5517578125,0.5517578125,0.5517578125,0.5517578125,0.5517578125
